Unnamed: 0,nonsense_sentence,logical_sentence,correct_reasoning_1,correct_reasoning_2,correct_reasoning_3,wrong_reasoning_1,wrong_reasoning_2
5134,izinkan saya memberi tahu Anda sedikit air tentang pembersihan.,izinkan saya memberi tahu Anda beberapa perincian tentang izin.,air tidak mengandung informasi.,Air tidak bisa diberi tahu tentang pembukaannya.,Water adalah kata benda dan tidak menjelaskan izin.,air diizinkan selama pembersihan.,orang bisa minum air mereka setelah pembersihan.
5135,Rahasia itu tersebar di antara sapi.,Rahasia itu tersebar di antara kerumunan.,sapi tidak memiliki rahasia.,Sapi tidak bisa mengerti rahasia.,Sapi tidak bisa menyebarkan rahasianya.,orang tidak tahu apakah sapi punya rahasia.,orang tidak tahu rahasia sapi.
5136,Anda dapat membunuh dua burung dengan satu sendok.,Anda dapat membunuh dua burung dengan satu batu.,sendok tidak bisa membunuh burung.,Membunuh burung tidak bisa dilakukan dengan sendok,Sendok tidak digunakan untuk membunuh burung.,sendok lebih kecil dari burung.,pemburu membunuh burung dan memakannya dengan sendok.
5137,Apakah Anda akan menghubungkan kursi ini ke televisi?,Apakah Anda akan menghubungkan kabel ini ke televisi?,kursi tidak dapat terhubung ke televisi.,Kursi tidak memiliki kabel yang terhubung ke televisi.,"kursi dimaksudkan untuk itu, mereka akan melakukan apa-apa",kabel di kursi harus terhubung ke televisi.,remote control di kursi harus terhubung ke televisi.
5138,Kata-katanya sangat terkesan di meja saya.,Kata-katanya sangat terkesan pada ingatanku.,kata-kata tidak terkesan di atas meja,Sebuah meja tidak dapat menerima kata-kata.,Tabel tidak sadar dan tidak dapat membentuk kesan dari kata-kata orang,dia terkesan dengan kata-kata puzzle di atas meja.,kata-katanya mengesankan di meja perundingan.
5139,"dia keluar dari teater, sebuah buku besar di bawah lengannya.","dia keluar dari perpustakaan, sebuah buku besar di bawah lengannya.",ada drama di teater bukan buku.,Anda tidak mendapatkan buku dari teater,Pergi ke teater dengan sebuah buku mengalahkan titik menonton film,ia mengambil sebuah buku besar dengan dia ke teater.,buku besar tidak diperbolehkan di ruang operasi.
5140,Saya akrab dengan suasana santai di ruang angkasa.,Saya akrab dengan suasana santai di perusahaan.,itu ruang hampa udara.,Tidak ada atmosfer di ruang angkasa.,ruang tidak memiliki atomosfer kausal,pelaut membutuhkan suasana yang menyenangkan saat bekerja di ruang sempit.,tidak mungkin manusia dapat membangun atmosfer di ruang angkasa.
5141,Berapa banyak kain yang dibutuhkan untuk membuat meja untuk gadis itu?,Berapa banyak kain yang dibutuhkan untuk membuat rok untuk gadis itu?,meja terbuat dari kayu bukan kain.,Meja tidak bisa dibuat oleh gadis itu.,Meja tidak terbuat dari kain.,ia meletakkan kain di atas meja.,kain di atas meja terbuat dari katun.
5142,Ada jembatan batu abu-abu kecil yang rusak di atas langit.,Ada jembatan batu abu-abu tua kecil rusak di atas sungai,manusia tidak bisa membangun jembatan di atas langit sekarang.,Jembatan tidak bisa menembus langit.,Sebuah jembatan tidak bisa hadir di langit.,jembatan sangat tinggi yang membuat orang merasa di langit.,jembatan langit digunakan untuk menghubungkan bangunan.
5143,Peningkatan kebahagiaan yang luar biasa akan menciptakan banyak masalah.,Peningkatan populasi yang sangat besar akan menciptakan banyak masalah.,kebahagiaan itu baik untuk orang-orang sehingga tidak akan menimbulkan masalah.,kebahagiaan tidak membuat masalah bagi siapa pun,Kebahagiaan adalah emosi yang tidak bisa menimbulkan masalah,kurangnya kebahagiaan adalah masalah di masyarakat.,penyebab masalahnya adalah kurangnya kebahagiaan.
5144,Tidak heran orang mengatakan bahwa komputer mengambil alih restoran.,Tidak heran orang mengatakan bahwa komputer mengambil alih dunia.,sebagian besar restoran masih dijalankan oleh manusia.,Restoran bukanlah tempat untuk mengambil komputer.,komputer mengambil semua tempat,dia meninggalkan komputernya di restoran.,beberapa restoran dijalankan oleh komputer.
5145,Tidak ada yang lebih baik untuk Anda selain banyak air dan pil,Tidak ada yang lebih baik untuk Anda selain banyak air dan tidur,terlalu banyak pil buruk bagi kesehatan manusia.,Pil tidak selalu baik untuk anda.,Pil tidak dapat digunakan untuk yang lebih baik.,anda akan merasa lebih baik setelah minum pil ini.,pil ini dirancang untuk membuat orang sakit menjadi lebih baik.
5146,Saya biasanya hanya menggunakan mesin pencari untuk mencari kemarahan.,Saya biasanya hanya menggunakan mesin pencari untuk mencari informasi,mesin pencari tidak dapat melihat emosi manusia.,Kemarahan bukanlah hal yang dapat ditemukan di mesin pencari.,Kemarahan adalah emosi dan tidak berkaitan dengan mesin pencari.,mesin pencari yang buruk dapat meningkatkan kemarahan saya.,"saya bisa mencari arti ""kemarahan"" melalui mesin pencari."
5147,"ketika mereka sampai ke toilet, mereka tidak dapat menemukan jeruk","ketika mereka sampai di pasar, mereka tidak dapat menemukan jeruk",orang tidak menyimpan jeruk di toilet.,jeruk tidak ditemukan di toilet karena toilet memiliki tujuan untuk buang air kecil,Jeruk tidak termasuk di toilet.,mereka menemukan beberapa jeruk busuk di tong sampah di toilet.,kulit jeruk dapat digunakan untuk membersihkan bau di toilet
5148,mereka sering berjalan dengan layang-layang di sungai,mereka sering berjalan dengan layang-layang di dekat sungai,orang tidak bisa menerbangkan layang-layang di sungai.,Berlari di air itu sulit.,Layang-layang tidak dapat ditemukan di sungai.,mereka sering menangkap ikan di sungai,layang-layang akan pecah di sungai
5149,dia ingin bergabung dengan klub musik dan memainkan permainan,dia ingin bergabung dengan klub musik dan bermain piano,orang tidak bermain game di klub musik.,anda tidak memiliki permainan di klub musik,"Untuk bermain game, kami tidak dapat bergabung dengan klub musik.",dia membawa papan permainannya ke klub musik.,dia memainkan beberapa permainan setelah dia meninggalkan klub musik.
5150,sapi memberi bacon dan krim,sapi memberikan susu dan krim,daging adalah daging yang telah dimasak.,sapi tidak menyediakan bacon atau krim dan tidak bisa memahami konsep memberi,Bacon berasal dari babi.,dia suka makan bacon yang terbuat dari sapi.,peternakan menghasilkan susu sapi dan daging.
5151,seekor anjing memiliki sepotong besar daging di dapurnya,anjing memiliki sepotong besar daging di mulutnya,dapur bukan bagian dari anjing.,Dapur bukan tempat yang dimiliki anjing.,Anjing tidak diperbolehkan di dapur.,anjing itu pergi ke dapur untuk makan.,dia membawa anjing kesayangannya ke dapur.
5152,Ulang tahun Jim adalah 31 September,Ulang tahun Jim adalah 30 September,September tidak punya 30 hari.,September hanya memiliki 30 hari.,Ulang tahun Jim adalah pada hari yang sama setiap tahun sehingga harus pada tanggal 30,mungkin ada 31 hari di bulan September di beberapa planet.,panjang September sama dengan 30.
5153,Tuan King adalah seorang petani dan ia mengajar bahasa Inggris di sebuah sekolah,Tuan King adalah seorang guru dan ia mengajar bahasa Inggris di sebuah sekolah,petani tidak mengajarkan pelajaran.,petani tidak mengajar,Tugas seorang petani adalah menanam tanaman.,petani itu bekerja di dekat sekolah.,putra petani itu mengambil pelajaran di sekolah.
5154,kami memilih rak buku di penjara.,kami memilih rak buku di toko,orang tidak bisa membeli barang di penjara.,Tidak ada rak buku di penjara,"penjara memiliki sampah manusia, bukan buku",ada rak buku di penjara.,tempat tidur di penjara terletak di samping rak.
5155,Olahraga membuat kita gemuk,Olahraga membuat kita lebih kurus,Olahraga dapat membuat orang menjadi bugar dan kuat,olahraga membantu kita menurunkan berat badan.,Olahraga tidak akan membuat kita gemuk.,orang gemuk tidak suka berolahraga,orang gemuk biasanya tidak berolahraga
5156,kereta berhenti di supermarket.,kereta berhenti di stasiun,kereta berhenti di stasiun bukan di supermarket.,Supermarket bukan tempat untuk kereta.,tidak ada jalur kereta di pasar,supermarket menjual kereta mainan.,supermarket lebih besar dari kereta.
5157,"dia sering bermain senjata dengan saya, dia berharap saya menjadi ""Yao Ming""","dia sering bermain basket dengan saya, dia berharap saya menjadi ""Yao Ming""",ilegal memainkan senjata.,Gun bukan hal untuk dimainkan.,senjata bukan mainan.,mereka memasukkan senjata palsu dalam permainan mereka.,anak-anak suka bermain dengan senjata air.
5158,air di sungai memiliki warna dan bau karena semakin bersih dan bersih,air di sungai memiliki warna dan bau karena semakin kotor dan kotor,air seharusnya tidak berwarna atau berbau saat bersih,Air tidak memiliki warna dan bau.,Tidak ada bau atau warna di sungai yang bersih.,airnya lebih bersih karena lebih sedikit bau dan warna normal di sungai.,dia melompat ke sungai untuk menghilangkan warna dan mencium bau padanya.
5159,dia adalah seorang gadis dan dia adalah anakku,dia adalah seorang gadis dan dia adalah putriku,anak laki-laki bukan perempuan.,Anak perempuan bukan anak laki-laki.,Gadis itu bukan putra hanya seorang putri.,dia memiliki seorang putra.,dia mengajar putranya untuk menghormati anak perempuan
5160,"kita membutuhkan pengasuh anak kita, yang berumur lima puluh lima tahun","kami membutuhkan pengasuh untuk putra kami, yang berusia lima tahun",tidak mungkin seorang anak laki-laki berusia lima puluh lima tahun.,Pria berusia 55 tahun bukan bayi,Babysistter merawat anak-anak,dia telah membesarkan anaknya selama lima puluh lima tahun.,dia bertemu putra tirinya ketika dia berusia lima puluh lima tahun.
5161,buka mulutmu dan tunjukkan perutmu padaku,buka mulutmu dan tunjukkan padaku lidahmu,perut tidak ada di mulut.,Anda tidak dapat melihat perut dari luar tubuh.,Perut tidak tersedia di mulut.,mulut dan perutmu terhubung.,anda tidak akan mendapatkan sakit perut karena makanan di mulut anda.
5162,orang sering mengatakan bahwa anjing adalah bola terbaik manusia,orang sering mengatakan bahwa anjing adalah teman terbaik manusia,Anjing adalah binatang bukan bola.,"anjing bukan mainan, jadi dia bukan bola",Anjing tidak bulat atau digunakan untuk olahraga.,anjing suka bermain dengan bola.,beberapa orang suka bermain bola dengan anjing mereka.
5163,seorang perampok bank ditangkap dan dikirim ke perpustakaan,seorang perampok bank ditangkap dan dikirim ke penjara,perampok akan dikirim ke penjara bukan perpustakaan.,Perampok tidak dikirim ke perpustakaan.,Perpustakaan bukan tempat rehabilitasi.,pria di perpustakaan adalah perampok bank.,orang yang ditangkap di perpustakaan adalah perampok bank.
5164,kami mengumpulkan beberapa batang pohon untuk membuat planet,kami mengumpulkan beberapa batang pohon untuk membuat api,tidak mungkin membuat planet dari batang pohon sekarang.,Anda tidak dapat membuat planet dengan tongkat,Planet tidak dapat dibuat dengan pohon-pohon.,tidak mungkin menemukan batang pohon di planet itu.,astronot membawa sebatang pohon ke planet itu.
5165,beberapa hewan di hutan hujan hidup di gunung berapi,beberapa hewan di hutan hujan hidup di puncak pohon,gunung berapi tidak ditemukan di hutan hujan.,tidak ada hewan yang bisa bertahan hidup di dalam gunung berapi,Gunung berapi bukanlah rumah bagi hewan.,ada gunung berapi dan hutan hujan di Bumi.,gunung berapi itu terletak di dekat hutan hujan.
5166,hutan membantu menjaga agar sinar matahari tidak lari,hutan membantu mencegah air mengalir,hutan tidak mencegah sinar matahari lari.,Sinar matahari tidak bisa berjalan.,hutan tidak bekerja seperti itu,sinar matahari yang hangat di hutan dapat membantu orang bersantai.,orang menikmati sinar matahari dan hutan.
5167,Saya sakit kepala parah dan saya akan melihat penyanyi,Saya sakit kepala parah dan saya akan ke dokter,penyanyi tidak dapat membantu orang dengan sakit kepala,Seorang penyanyi bukanlah seorang profesional medis yang mampu membantu mengatasi sakit kepala.,Penyanyi bukan dokter untuk menghilangkan rasa sakit kami,Saya sakit kepala saat mendengarkan lagu penyanyi itu.,penyanyi itu sakit kepala.
5168,kursi favorit saya adalah jus apel,minuman favorit saya adalah jus apel,kursi berbeda dari jus apel,Saus apel tidak dapat digunakan sebagai kursi.,"jus apel adalah minuman, bukan item furnitur",ada sebotol jus apel di kursi,saya minum sebotol jus apel di kursi saya
5169,dia melihat udara di rumput,dia memperhatikan serangga di atas rumput,udara tidak terlihat.,"Anda tidak dapat melihat udara, hanya apa yang dibawa di udara.",Udara tidak bisa diawasi.,dia melihat serangga di udara.,aliran udara dapat dilihat dalam beberapa keadaan
5170,saya pergi ke matahari ketika saya berumur 20 tahun,Aku pergi ke bar ketika aku berumur 20 tahun,manusia tidak bisa pergi ke matahari sekarang.,matahari sangat panas,Sun bukan tempat untuk dikunjungi.,aku pergi ke gunung untuk melihat matahari terbit.,matahari turun ke barat.
5171,ada beberapa pohon buah di atas kuda,ada beberapa pohon buah di pertanian,orang menunggang kuda tidak menggunakannya untuk menumbuhkan pohon.,kuda tidak menghasilkan buah,Kuda tidak membawa pohon buah.,pohon buah-buahan lebih berat daripada kuda.,kuda itu suka makan buah-buahan di pohon buah itu.
5172,seekor anjing pemandu dapat memimpin pemiliknya yang tuli,seekor anjing pemandu dapat memimpin pemiliknya yang buta,orang tuli dapat melihat sehingga mereka tidak membutuhkan anjing penuntun,"Anjing pemandu diperuntukkan bagi pemilik tunanetra, bukan tuna rungu","Orang tuli dapat melihat, Jadi mereka tidak membutuhkan siapa pun untuk membimbing mereka.",seekor anjing pemandu dapat memimpin pemiliknya yang tuli dan buta,seorang lelaki tua tuli membeli seekor anjing pemandu untuk istrinya yang buta.
5173,aku akan membeli beberapa buku dari kolam renang,aku akan membeli beberapa buku dari toko buku,orang tidak bisa membeli buku dari kolam renang.,kolam renang yang hanya mengandung air,Buku tidak tersedia di kolam renang.,ada buku yang mengambang di kolam renang,Saya membawa buku ke kolam renang
5174,Saya menyikat sepatu saya sebelum tidur,Aku menyikat gigiku sebelum tidur,orang-orang menyikat gigi alih-alih sepatu sebelum tidur.,Aku menyikat gigiku sebelum tidur,"Anda tidak perlu menyikat sepatu Anda setiap hari, jika pernah.","Aku menyikat gigiku setelah menyikat sepatuku, lalu pergi tidur","Aku menyikat gigiku sebelum menyikat sepatuku, lalu pergi tidur"
5175,Saya hanya tinggal di langit sebagian besar waktu untuk membaca dan bersantai,Saya hanya tinggal di rumah sebagian besar waktu untuk membaca dan bersantai,manusia tidak bisa tinggal di langit sekarang.,langit bukan tempat tinggal,Manusia tidak bisa mengapung di langit,Saya tinggal di rumah saya ketika pesawat terbang di langit.,burung tidak bisa diam ketika terbang di langit.
5176,"karena air yang buruk, kita tidak bisa melihat apa-apa di luar","karena cuaca buruk, kami tidak dapat melihat apa pun di luar",tidak ada hubungan antara air yang buruk dan visibilitas yang rendah.,Air tidak mempengaruhi visibilitas udara ..,Air tidak menghalangi penglihatan.,kita tidak bisa melihat apa-apa setelah minum air ini.,kita tidak dapat melihat apa pun di luar mobil karena tertutup air hitam.
5177,minumannya terasa enak karena saya sangat lapar,makanan terasa enak karena saya sangat lapar,orang makan makanan ketika mereka lapar tidak minum,Meminum sesuatu tidak membuat Anda kurang lapar,minuman tidak memuaskan rasa lapar.,minuman di restoran membuat orang merasa lapar,minuman di sini tidak membuat orang merasa lapar
5178,aku akan memberikan rumah saya kartu untuk ulang tahunnya,Aku akan memberikan kartu bibiku untuk ulang tahunnya,rumah tidak memiliki ulang tahun.,Rumah adalah benda mati yang tidak dapat menerima kartu.,Rumah tidak memiliki ulang tahun dan tidak merayakannya untuk menerima hadiah,saya merayakan ulang tahun saya di rumah saya.,ada pesta ulang tahun di rumah.
5179,kebanyakan dari kita berbelanja makanan di kamar,kebanyakan dari kita berbelanja makanan di supermarket,orang tidak berbelanja di kamar mereka,Makanan untuk dijual tidak disimpan di kamar tidur.,Makanan tidak dijual di kamar tidur,Saya pergi berbelanja untuk beberapa perabot di kamar tidur,saya lebih suka berbelanja daripada tinggal di kamar saya
5180,jahe akan terasa panas di mata.,jahe akan terasa panas di mulut,Jahe terlalu besar untuk disejajarkan dengan mata orang,Mata tidak bisa mencicipi makanan,Jahe tidak dikonsumsi melalui mata.,anda harus menjaga mata anda pada jahe.,Saya melihat jahe membusuk dengan mata saya
5181,Susu asam adalah bir yang rasanya tidak enak karena tidak lagi segar,Susu asam adalah susu yang rasanya tidak enak karena tidak lagi segar,"susu asam terbuat dari susu, bukan bir",Susu tidak bisa berubah menjadi bir.,bir dan susu tidak sama,saya tidak suka susu asam dan bir,dia mencoba mencampur susu asam dengan bir
5182,"sudah jam 9 malam, mari kita minum teh sore","ini sudah jam 3 sore, mari kita minum teh sore",9 malam. adalah di sore hari bukan sore hari,9 malam waktu yang tidak tepat untuk minum teh sore,9 malam bukan sore.,sudah sore di sini tapi jam 9 malam di kota-kota lain,saya bekerja dari sore hingga jam 9 malam
5183,aku benci pisang sebagai meja,aku benci pisang sebagai camilan,pisang tidak bisa menjadi meja,Pisang tidak dapat digunakan sebagai meja.,Pisang bukan meja.,ada pisang di meja,pisang di meja membusuk
5184,Saya mencoba sushi di toilet Jepang,Saya mencoba sushi di restoran Jepang,orang tidak makan makanan di toilet,Toilet tidak melayani sushi,Satu-satunya penggunaan toilet adalah untuk mengeluarkan kotoran dan urin manusia.,seseorang melempar sushi di tempat sampah toilet,sushi itu tidak segar karena saya telah ke toilet berkali-kali
5185,betina duduk di air mancur sampai burung-burung kecil menetas,betina duduk di atas telur sampai burung-burung kecil menetas,burung tidak menetas dari air mancur,Air mancur tidak menghasilkan burung.,Wanita tidak menetas burung.,ada burung kecil di air mancur,burung itu minum air dari air mancur
5186,kami mengikuti jejak beruang di air,kami mengikuti jejak beruang di salju,beruang tidak meninggalkan jejak di air,Air tidak memiliki jejak.,"beruang tidak hidup di air, kamu tidak bisa mengikuti jejak di air",hiu bisa mengikuti jejak mangsanya di dalam air,beruang tidak dapat menemukan jejak Anda di air
5187,itu adalah kebiasaan untuk menawarkan pisau kepada para tamu,merupakan kebiasaan untuk menawarkan minuman kepada para tamu,orang biasanya tidak menawarkan pisau tamu,"pisau adalah senjata, bukan persembahan untuk tamu",Menawarkan pisau untuk para tamu tidak sopan,tamu itu membawakannya pisau sebagai hadiah,dia menemukan pisau untuk membuka kotak dari tamu
5188,anda dapat membeli perangko di kantor polisi,anda dapat membeli perangko di kantor pos,kantor polisi tidak menjual perangko,Prangko tidak dijual di kantor polisi.,Pekerjaan seorang petugas polisi adalah menangkap penjahat.,polisi menangkap perangko perampok,polisi menemukan perangko yang hilang
5189,hotel ini memiliki layanan ujian,hotel ini memiliki layanan binatu,hotel tidak memberikan ujian kepada tamu,Hotel tidak menyediakan persiapan ujian.,Ujian dan hotel tidak terkait satu sama lain.,ada ujian yang diadakan di hotel,staf hotel mendapatkan ujian setiap bulan
5190,sekolah baru-baru ini membangun supermarket baru,sekolah baru-baru ini membangun gym baru,sekolah tidak membangun supermarket,Sekolah adalah tempat untuk belajar sehingga tidak perlu membangun supermarket.,"Supermarket bukanlah sesuatu yang akan diminati sekolah, karena tidak terkait dengan pendidikan.",ada supermarket di dekat sekolah,siswa di sekolah itu tidak berbelanja di supermarket
5191,Pitaya adalah buah hitam besar dengan tentakel hijau di kulitnya,Pitaya adalah buah merah besar dengan tentakel hijau di kulitnya,Pitaya mengandung betaine yang berwarna merah tetapi tidak hitam,pitaya warna merah,Buah tidak memiliki tentakel.,biji yang didistribusikan dalam daging pitaya berwarna hitam,"Ketika Pitaya berubah menjadi hitam, Anda tidak harus memakannya"
5192,gaji saya dibayarkan langsung ke rumah saya,gaji saya dibayar langsung ke bank saya,lebih aman untuk mentransfer gaji ke bank daripada ke rumah.,Anda tidak dapat menyetor gaji ke rumah,Gaji harus masuk ke akun bukan rumah,gaji saya tidak cukup untuk sebuah rumah,gaji saya cukup untuk dekorasi rumah
5193,Saya menghias salad buah dengan setangkai air,Saya menghias salad buah dengan setangkai mint,air tidak dapat digunakan untuk menghias makanan,anda menggunakan air untuk hal-hal lain,Tidak ada yang namanya aliran air,botol air itu dihiasi oleh beberapa bunga di botol itu,air dalam cangkir dihiasi dengan lukisan
5194,dia meninggalkan alamat jalannya sehingga kita bisa mengirim email kepadanya,dia meninggalkan alamat jalannya sehingga kami bisa mengirim surat kepadanya,alamat jalan tidak diperlukan untuk e-mail,Email tidak dapat dikirim ke alamat jalan.,Anda tidak dapat mencari cara mengirim email seseorang menggunakan alamat jalan mereka.,dia memasukkan alamat jalannya di email,dia lupa memasukkan alamat jalannya ke email
5195,seorang petani membunuh ular itu dengan daun,seorang petani membunuh ular itu dengan tongkat,dedaunan tidak bisa membunuh ular,Daun tidak cukup kuat untuk menjadi senjata untuk membunuh ular.,"anda tidak bisa membunuh ular dengan daun, ular akan membunuh anda.",ular dibungkus dengan daun,ular terlihat seperti daun
5196,sahabat adalah seseorang yang berbagi udara dan air dengan Anda,sahabat adalah seseorang yang berbagi kebahagiaan dan kesedihan dengan Anda,"orang berbagi udara dan air satu sama lain, itu tidak cukup baik untuk menjadi sahabat",Udara tidak dapat dibagi.,udara tidak dibagikan karena gratis untuk semua.,saya bermain basket dengan sahabat saya,Saya berbagi pengharum ruangan dan air dengan teman baik saya
5197,saran Anda telah membantu saya rukun dengan pensil saya,saran Anda telah membantu saya rukun dengan teman sekelas saya,orang menggunakan pensil untuk menulis daripada bergaul dengan mereka,Pensil tidak membutuhkan saran.,Pensil tidak memiliki kepribadian dan tidak perlu cocok.,Aku rukun dengan teman-teman sekelasku dengan meminjamkan mereka pensil,Saya menikmati menulis dengan pensil saya dengan teman sekelas yang saya kenal baik
5198,awan nakal mendorongku ke air,anak nakal mendorong saya ke dalam air,cloud tidak bisa mendorong orang,Awan tidak memiliki tangan untuk mendorong,Awan tidak bisa nakal.,mesin mendorong pesawat yang penuh orang di atas awan,ada awan di langit
5199,kue memungkinkan orang dari berbagai belahan dunia untuk berbicara langsung,komputer memungkinkan orang dari berbagai belahan dunia untuk berbicara langsung,kue tidak membantu orang berbicara satu sama lain,kue yang dibuat untuk makan,Kue tidak dapat digunakan orang untuk berbicara dengan dunia.,beberapa orang saling berbicara sambil makan kue,saya akan siap untuk berbicara dengan Anda setelah saya menyelesaikan kue ini
5200,hobi adalah hewan peliharaan Anda tidak pernah lelah,hobi adalah sesuatu yang Anda tidak pernah lelah,hobi adalah hal yang orang suka tidak memelihara hewan peliharaan,Hewan peliharaan bukan hobi.,Seekor hewan peliharaan adalah hewan hidup yang hobi Anda lakukan untuk bersenang-senang.,hobi saya adalah merawat hewan peliharaan,hobi saya memberi makan hewan peliharaan
5201,"Karena hujan lebat, ada lalu lintas air di mana-mana","Karena hujan lebat, ada kemacetan lalu lintas di mana-mana",tidak ada yang disebut air lalulintas,Lalu lintas air tidak apa-apa.,Hujan adalah penyebab air bukan lalu lintas,air di jalan menyebabkan kemacetan lalu lintas,saya minum sebotol air saat menghadapi kemacetan lalu lintas
5202,pekerjaan ini membutuhkan saya enam planet untuk menyelesaikannya,pekerjaan ini membutuhkan waktu enam minggu untuk menyelesaikannya,manusia tidak dapat menggunakan seluruh planet sekarang,Tidak ada pekerjaan yang secara wajar akan membutuhkan planet untuk menyelesaikannya.,Planet bukan ukuran waktu.,manusia harus memanfaatkan sepenuhnya sumber daya planet ini,ada sumber daya yang terbatas di planet ini untuk digunakan orang
5203,Semua singa harus menghadiri pertemuan,Semua siswa harus menghadiri pertemuan,singa tidak menghadiri pertemuan,Singa tidak menghadiri pertemuan.,Singa tidak menghadiri pertemuan.,pertemuannya adalah tentang bagaimana menangani singa,pertemuannya adalah tentang bagaimana cara membesarkan bayi singa
5204,butuh satu minggu untuk mengangkut racun ke daerah yang dilanda bencana,butuh satu minggu untuk mengangkut makanan ke daerah yang dilanda bencana,orang-orang di daerah yang dilanda bencana tidak membutuhkan racun,itu tidak masuk akal,Racun akan membunuh mereka yang terkena dampak bencana,dia mencoba menjual racun alih-alih obat kepada orang-orang dari daerah yang dilanda bencana,orang-orang dari daerah yang dilanda bencana membutuhkan lebih banyak air
5205,"Karena mobilnya rusak, ia menerima RMB 1000 dari perusahaan listrik","Karena mobilnya rusak, ia menerima RMB 1000 dari perusahaan asuransi",perusahaan listrik tidak akan membayar Anda jika mobil Anda rusak,Perusahaan listrik tidak akan mengganti dia atas kerusakan mobil,Mobil yang rusak bukanlah sesuatu yang ditangani perusahaan listrik.,mobil yang rusak milik perusahaan listrik,saya membayar banyak uang ke perusahaan listrik
5206,Memancing adalah buku favorit saya,Memancing adalah olahraga favorit saya,memancing bukan jenis buku,Memancing tidak bisa menjadi buku.,Memancing menggambarkan suatu kegiatan tetapi sebuah buku adalah suatu barang dan bukan suatu kegiatan,buku ini adalah tentang memancing,buku ini adalah tentang sejarah memancing
5207,kami membawa batu bara dan minyak dari bawah air,kami membawa batu bara dan minyak dari bawah tanah,tidak ada batubara dan minyak di air,JIKA DIBAWA DARI AIR DI BAWAH INI,minyak dan batubara tidak di bawah air,orang percaya bahwa batu bara dan minyak ada di bawah tanah yang ditutupi oleh laut,perahu itu tenggelam dan melepaskan batu bara dan minyak ke dalam air
5208,Anda bisa makan daging babi mentah,anda bisa makan brokoli mentah,tidak aman makan daging babi mentah.,jika Anda makan daging babi mentah Anda tidak bisa sakit,Makan daging babi mentah membawa risiko yang sangat tinggi tertular penyakit bawaan makanan.,singa makan daging babi mentah.,manusia purba makan daging babi mentah.
5209,kita bisa mencuci di gym,kita bisa mencuci tangan di binatu,orang berolahraga di gym bukan mencuci pakaian,Tidak akan ada tempat untuk mencuci pakaian,Gym tidak memiliki fasilitas untuk mencuci.,saya harus mencuci pakaian sebelum pergi ke gym,Saya sarankan kita mencuci setelah meninggalkan gym
5210,mereka memiliki anggur untuk anak-anak,mereka memiliki soda untuk anak-anak,anak-anak tidak diperbolehkan minum anggur,"Minuman beralkohol, seperti anggur, adalah ilegal dan tidak etis untuk disajikan kepada siapa pun yang berusia di bawah 21 tahun.",Anak-anak terlalu muda untuk minum anggur.,orang tua anak-anak dapat minum anggur,anak-anak sedang bermain ketika orang tua mereka sedang minum anggur
5211,jangan lupa untuk menutup jendela sebelum anda meninggalkan pesawat ruang angkasa,jangan lupa untuk menutup jendela sebelum anda meninggalkan mobil,jendela pesawat ruang angkasa tidak dapat dibuka,Pesawat ruang angkasa tidak memiliki windows.,Mungkin tidak akan mungkin untuk membuka jendela pesawat ruang angkasa.,pesawat ruang angkasa itu jatuh karena seseorang membuka lubang di jendela,jendela mainan pesawat ruang angkasa itu bisa dibuka
5212,bayi burung tidak memiliki lengan yang kuat untuk terbang,bayi burung tidak memiliki sayap yang kuat untuk terbang,lengan tidak dapat membantu hewan terbang,"Burung tidak memiliki lengan, mereka memiliki sayap.","Bayi burung memiliki sayap, bukan lengan.",ada lengan robot di pesawat terbang,burung itu terbang kembali meraih lengan yang patah
5213,sebuah gunung berapi dibangun di dekat rumah saya,sebuah teater dibangun di dekat rumah saya,manusia tidak dapat membangun gunung berapi sekarang.,"Gunung berapi terjadi secara alami, mereka tidak dibangun.",tidak ada yang bisa tinggal di dekat gunung berapi.,rumah saya terletak di dekat gunung berapi,gambarnya adalah tentang sebuah rumah di dekat gunung berapi.
5214,dia pergi ke toilet dan dia ingin memiliki beberapa telur,dia pergi ke restoran dan dia ingin punya telur,toilet tidak melayani telur,toilet tidak akan menghasilkan telur.,toilet tidak memiliki telur,dia punya telur sebelum pergi ke toilet,dia melemparkan telur ke toilet
5215,angin meniup keretanya,angin meniup topinya,seorang pria tidak bisa memakai kereta api di kepalanya,Angin tidak cukup kuat untuk meledakkan kereta.,Kereta tidak bisa meniup angin.,dia kehilangan kepala mainannya di kereta,dia adalah kepala pelatih di kereta ini.
5216,sebuah pesawat ada di tempat tidurnya,layang-layang ada di tempat tidurnya,sebuah pesawat terlalu besar untuk diparkir di tempat tidur,Sebuah pesawat tidak akan muat di tempat tidur,Pesawat yang sebenarnya tidak muat di tempat tidur manusia.,sebuah pesawat mainan ada di tempat tidur,ada tempat tidur di beberapa pesawat
5217,dia membuka matanya dan mulai bernyanyi,dia membuka mulutnya dan mulai bernyanyi,orang tidak menggunakan mata untuk bernyanyi,Mata tidak mampu bernyanyi,"Anda bernyanyi dengan mulut Anda bukan dengan mata Anda, Anda menggunakannya untuk melihat",orang memiliki dua mata,dia suka menyanyi di malam hari
